DET,Michigan,US26
DTW,Michigan,US26
YIP,Michigan,US26
SFO,California,US06
EMB,California,US06
JCC,California,US06
JID,California,US06
WHP,California,US06
JLX,California,US06
VNY,California,US06
LAX,California,US06
CCD,California,US06
JCX,California,US06
JBP,California,US06
JWC,California,US06
JUC,California,US06
JSN,California,US06
SEA,Washington,US53
BFI,Washington,US53
LKE,Washington,US53
CHI,Illinois,US17
ORD,Illinois,US17
DPA,Illinois,US17
GYY,Illinois,US17
PWK,Illinois,US17
RFD,Illinois,US17
CGX,Illinois,US17
MDW,Illinois,US17
FLU,New York,US36
EWR,New York,US36
LGA,New York,US36
SWF,New York,US36
JRE,New York,US36
JRB,New York,US36
JRA,New York,US36
TSS,New York,US36
ZYP,New York,US36
ZRP,New York,US36
JFK,New York,US36
BOF,Missouri,US29
JPN,Missouri,US29
ZWU,Missouri,US29
DCA,Missouri,US29
IAD,Missouri,US29
CLD,California,US06
NZY,California,US06
SAN,California,US06
MYF,California,US06
SEE,California,US06
SDM,California,US06
NKX,California,US06
SLC,Utah,US49
DAL,Texas,US48
JNH,Texas,US48
JMD,Texas,US48
DFW,Texas,US48
ADS,Texas,US48
DNE,Texas,US48
JDB,Texas,US48
RBD,Texas,US48
EDF,Alaska,US02
ANC,Alaska,US02
FRN,Alaska,US02
MRI,Alaska,US02
GUM,#N/A,#N/A
UAM,#N/A,#N/A
HIK,Hawaii,US15
HNL,Hawaii,US15
PIT,Pennsylvania,US42
AGC,Pennsylvania,US42
CVA,Pennsylvania,US42
RNO,Nevada,US32
ELP,Texas,US48
BIF,Texas,US48
MMR,Texas,US48
AUS,Texas,US48
MKE,Wisconsin,US55
MWC,Wisconsin,US55
STL,Missouri,US29
CPS,Missouri,US29
SUS,Missouri,US29
LUK,Ohio,US39
CVG,Ohio,US39
CLE,Ohio,US39
CGF,Ohio,US39
BKL,Ohio,US39
NBG,Louisiana,US22
NEW,Louisiana,US22
MSY,Louisiana,US22
MCO,Florida,US12
ISM,Florida,US12
ORL,Florida,US12
SFB,Florida,US12
DWS,Florida,US12
NQX,Florida,US12
EYW,Florida,US12
SBA,California,US06
SZN,California,US06
TUS,Arizona,US04
AVW,Arizona,US04
DMA,Arizona,US04
SKF,Texas,US48
SSF,Texas,US48
SAT,Texas,US48
MDA,Texas,US48
RND,Texas,US48
FFO,Ohio,US39
MGY,Ohio,US39
DWF,Ohio,US39
DAY,Ohio,US39
MEM,Tennessee,US47
NQA,Tennessee,US47
JDT,Minnesota,US27
MIC,Minnesota,US27
MSP,Minnesota,US27
STP,Minnesota,US27
FCM,Minnesota,US27
CMH,Ohio,US39
LCK,Ohio,US39
OSU,Ohio,US39
IND,Indiana,US18
BUF,New York,US36
ZFZ,New York,US36
