airportcode,count
ABE,12604000
ABQ,72894000
ADQ,1456000
AGS,1986000
AKN,648000
ALB,27366000
AMA,9580000
ANC,41564000
ATL,531416000
AUS,85372000
AVL,3168000
AVP,3048000
AZO,2078000
BDL,73040000
BET,2072000
BGM,1592000
BHM,39750000
BIL,6052000
BIS,2844000
BNA,115352000
BOI,25134000
BOS,226112000
BQN,34000
BRO,110000
BRW,1918000
BTR,8898000
BTV,5268000
BUF,38204000
BUR,55434000
BWI,182440000
BZN,3712000
CAE,9770000
CAK,2104000
CDV,1456000
CHA,2150000
CHS,13938000
CID,10292000
CLE,111182000
CLT,261246000
CMH,71308000
COS,24808000
CRP,6192000
CRW,2292000
CVG,147632000
DAB,4074000
DAL,97068000
DAY,22336000
DCA,171864000
DEN,274604000
DFW,493826000
DLG,604000
DLH,2062000
DRO,236000
DSM,13364000
DTW,307020000
DUT,1324000
EGE,2384000
ELM,2812000
ELP,47372000
ERI,2880000
EUG,4296000
EWR,248992000
FAI,10758000
FAR,4692000
FAT,732000
FAY,2828000
FCA,3160000
FLL,101170000
FNT,2558000
FSD,6976000
FWA,890000
GEG,26500000
GFK,2046000
GPT,2158000
GRB,5808000
GRR,16012000
GSO,30298000
GSP,13792000
GST,182000
GTF,4676000
GUC,442000
HDN,1382000
HLN,1436000
HNL,33794000
HOU,112628000
HPN,10012000
HRL,8334000
HSV,11540000
IAD,130924000
IAH,262094000
ICT,13082000
ILM,4390000
IND,70522000
ISP,16880000
ITH,2814000
ITO,1828000
JAC,1726000
JAN,18076000
JAX,49278000
JFK,91156000
JNU,8982000
KOA,5000000
KTN,5014000
LAN,4920000
LAS,275526000
LAX,424236000
LBB,11362000
LEX,7038000
LFT,14000
LGA,208354000
LGB,7350000
LIH,4202000
LIT,27086000
LNK,5486000
LSE,878000
LWB,164000
MAF,10690000
MBS,7824000
MCI,124160000
MCO,199902000
MDT,14688000
MDW,106658000
MEM,108990000
MFE,7038000
MFR,3078000
MGM,1982000
MHT,27462000
MIA,133828000
MIB,178000
MKE,30822000
MLB,2904000
MLI,3924000
MLU,4308000
MOB,8608000
MOT,2012000
MRY,682000
MSN,7952000
MSO,3730000
MSP,294568000
MSY,102398000
MTJ,396000
MYR,5490000
OAK,114206000
OGG,11242000
OKC,39756000
OMA,34524000
OME,1880000
ONT,71444000
ORD,593542000
ORF,31966000
OTZ,1764000
PBI,45990000
PDX,114506000
PHL,242302000
PHX,377856000
PIA,36000
PIT,212476000
PNS,11468000
PSC,2908000
PSG,1456000
PSP,9326000
PVD,51970000
PWM,12214000
RAP,2550000
RDU,71996000
RIC,34724000
RNO,61344000
ROA,4434000
ROC,27900000
RST,4470000
RSW,29908000
SAN,145412000
SAT,77408000
SAV,10754000
SBA,5202000
SBN,4032000
SCC,764000
SDF,44952000
SEA,209820000
SFO,270064000
SGF,4130000
SHV,7040000
SIT,2620000
SJC,135430000
SJU,50306000
SLC,160992000
SMF,77628000
SNA,87112000
SRQ,9884000
STL,339212000
STT,5540000
STX,1464000
SUX,1382000
SWF,2556000
SYR,22752000
TLH,4236000
TOL,1802000
TPA,129290000
TRI,2304000
TUL,39884000
TUS,40218000
TVC,2222000
TYS,13900000
VPS,2620000
WRG,1456000
YAK,1456000
